1,PPP
2,PPP
3,PPP
4,PPP
5,PPP
6,PPP
7,PPP
8,PPP
9,PPP
10,PPP
11,PPP
12,PPP
13,PPP
14,PPP
15,PPP
16,PPP
17,PPP
18,PPP
19,PPP
20,OPP
21,OPP
22,OPP
23,OPP
24,PPP
25,PPP
26,PPP
27,PPP
28,PPP
29,PPP
30,PPP
31,PPP
32,BOO
33,BBB
34,BBB
35,BBB
36,BBB
37,BBB
38,BBB
39,BBB
40,BBB
41,BBB
42,BBB
43,BBB
44,BBB
45,BBB
46,BBB
47,BBB
48,OBB
49,OBB
50,OBB
51,OBO
52,OOB
53,BOB
54,PPP
55,PPP
56,PPP
57,PPP
58,PPP
59,PPP
60,PPP
61,PPP
62,PPP
63,PPP
64,PPP
65,PPP
66,PPP
67,PPP
68,PPP
69,BBB
70,BBB
71,OPP
72,OOP
73,PPP
74,PPP
75,PPP
76,PPP
77,PPP
78,PPP
79,PPP
80,PPP
81,PPP
82,PPP
83,PPP
84,PPP
85,PPP
86,POP
87,OOO
88,OOP
89,OOP
90,PPP
91,PPP
92,PPP
93,OOO
94,OOO
95,BBB
96,PPP
97,BBO
98,BBB
99,BBB
100,BBB
101,BBB
102,BBB
103,BBB
104,BOB
105,BBB
106,PBB
107,PBB
108,PBB
109,PBB
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
