0.031009 0.032834 -0.036894 0.031398 -0.045327 -0.005529 0.007945 -0.025831 -0.023763 0.022620 -0.016169 -0.038211
0.048277 -0.050817 0.022227 -0.019170 -0.026831 0.015217 -0.026425 0.001689 0.037024 0.009324 0.033327 0.002116
0.007815 -0.020931 -0.035571 0.058114 0.022069 0.019151 0.034672 -0.016381 -0.013300 0.006759 -0.047952 0.003471
-0.024566 0.032674 -0.042672 -0.030987 -0.041615 -0.014242 0.029861 0.033475 0.009915 0.023416 -0.008300 0.029755
0.055181 0.032660 0.051940 0.026557 0.019061 -0.016684 0.012803 0.000906 -0.000504 0.031328 -0.015615 -0.021293
0.014013 0.028135 -0.041825 -0.018676 0.041223 -0.035761 0.029326 0.032983 0.024852 0.012951 0.027109 -0.021623
0.034379 -0.032683 0.032556 0.038875 0.012432 0.034116 -0.040686 -0.027144 0.015882 -0.011875 0.007952 -0.031807
-0.018136 -0.045854 -0.042649 -0.011433 0.039753 0.006778 -0.025074 0.004267 -0.027531 -0.016035 0.010366 0.047149
-0.022324 0.047842 0.005295 0.013809 0.023665 0.020323 -0.037890 -0.047360 0.027006 0.011559 0.038084 -0.005387
-0.006747 -0.040565 0.024018 -0.002878 -0.019219 0.022457 0.005272 0.046690 0.036177 -0.032750 -0.007368 -0.046976
